LHRS,Offset,Year,Hwy No,Hwy Letter,Hwy Type,Location Description,Station #,Region,Sec Len,Con Link Len,Secondary Description,PDCS #,Pattern,DHV %,Design Hr. Dir Split %,Design Hr. Dir Split Higher Volume Direction,AADT,SADT,SAWDT,WADT,Truck %,Truck AADT,Alpha Code,Count Code,cost 1,cost 2,cost 3,Latitude,Longitude
47720,0,2019,401,,FWY,E JCT HWY 6 IC-299/BROCK RD WELLINGTON RD. 46,645,WEST,4.36,0,,30,IC,10,53,N/A,123100,135200,135900,111100,18,22200,T,1,35000,56000,70000,43.453533,-80.124531
47723,0,2019,401,,FWY,W JCT HWY 6 IC-295 HANLON EXPWY,647,WEST,9.18,0,,90,C,6,52,N/A,118100,129100,128300,106900,18,21300,T,1,35000,56000,70000,43.448001,-80.177127
47725,0,2019,401,,FWY,REG RD 33 TOWNLINE RD UP IC-286,648,WEST,2.27,0,,90,C,6,61,N/A,112800,123300,122600,102100,19,21400,T,1,35000,56000,70000,43.420888,-80.283079
47728,0,2019,401,,FWY,FRANKLIN BV IC-284 REG RD 36,649,WEST,1.69,0,,90,C,6,52,N/A,111800,122200,121500,101200,21,23500,T,1,35000,56000,70000,43.414728,-80.309564
47730,0,2019,401,,FWY,HWY 24 IC-282/HESPELER RD REG RD 24 CAMBRIDGE,650,WEST,4.56,0,,30,IC,10,52,N/A,150000,164800,165600,135400,30,45000,T,1,35000,56000,70000,43.414009,-80.327986
47740,0,2019,401,,FWY,REG RD 8 KING ST E/SHANTZ HILL RD IC-278,710,WEST,2.88,0,,22,SC,6,55,N/A,88600,94000,93500,78300,21,18600,T,1,35000,56000,70000,43.40176,-80.379029
47745,0,2019,401,,FWY,HOMER WATSON BV IC-275 (N) FOUNTAIN ST (S) RR 28,715,WEST,7.1,0,,30,IC,10,56,N/A,57300,62900,63300,51700,28,16000,T,1,35000,56000,70000,43.384896,-80.405307
47750,0,2019,401,,FWY,WATERLOO RD 97 IC-268 CEDAR CREEK RD,720,WEST,17.78,0,,30,IC,10,52,N/A,52200,57300,57600,47100,34,17600,T,1,35000,56000,70000,43.331966,-80.447588
47760,0,2019,401,,FWY,OXFORD RD 29 IC-250,725,WEST,12.17,0,,43,IR,9,55,N/A,49200,55700,56200,42800,30,14800,T,1,35000,56000,70000,43.229042,-80.602443
47770,0,2019,401,,FWY,OXFORD HWY 2 IC-238,727,WEST,2.56,0,,37,CR,8,63,N/A,49900,57900,58300,44800,31,15300,T,1,35000,56000,70000,43.141158,-80.681946
